condition,delta_joint_rmse_rad_mean,delta_joint_rmse_rad_std,delta_orientation_rmse_rad_mean,delta_orientation_rmse_rad_std,delta_tcp_p95_m_mean,delta_tcp_p95_m_std,delta_tcp_rmse_m_mean,delta_tcp_rmse_m_std,ik_method,mpc_method,n
nominal,-0.00035739725627575585,0.000988227208291143,-0.010085406341750727,0.0021101606282853008,-0.01604845222085715,0.005616239226309867,-0.004264579411939897,0.002216513643475499,preview,VirtualDelayAware,20
observation_noise_l3,-7.03901330828296e-05,0.0010460974888396803,-0.009536823979095731,0.002172799455987273,-0.01705377643927934,0.005539548090445389,-0.003912962219382069,0.0022463533697869515,preview,VirtualDelayAware,20
observation_noise_l6,0.0046589359624015555,0.0031076918051922285,0.0005393910101255331,0.007083291321442838,-0.0014464083313942121,0.018896552155101966,0.004771649634863923,0.0074911044763012686,preview,VirtualDelayAware,20
payload_l3,-0.0001099712607900644,0.0018218529664990092,-0.017408813119078246,0.003360100222909788,-0.011379603333771143,0.010096616256939783,-0.0077763679114211965,0.0032928726666205943,preview,VirtualDelayAware,20
payload_l6,-0.011164411637566735,0.0019181335076585693,-0.06158094776325933,0.004821680644364101,-0.030826405473053348,0.012082801541374725,-0.033426773396614914,0.0048286694625395326,preview,VirtualDelayAware,20
actuator_gain_l3,-0.004460290831574221,0.0006146355487701738,-0.0125785403811387,0.0015151214506855858,-0.03610963204875587,0.004266369862607888,-0.01340751094387633,0.0013861926755802194,raw,VirtualDelayAware,20
actuator_gain_l6,-0.006176327494033954,0.0005089017457546768,-0.01740409003615525,0.0014587235052126997,-0.04131832476705315,0.0032881462970661274,-0.015254274041630045,0.0012073646364587217,raw,VirtualDelayAware,20
force_pulse_l3,-0.0032551717457662195,0.0011489880312668794,-0.009668566190072574,0.0023434731592470613,-0.03227576866745949,0.005295638494047527,-0.011118584503677763,0.002068875985675981,raw,VirtualDelayAware,20
force_pulse_l6,-0.0029477463980815146,0.0017692750774799878,-0.00921489320497633,0.0035329172614387942,-0.03063795601949093,0.0047383036510631246,-0.010562305126824552,0.0032240561171032805,raw,VirtualDelayAware,20
nominal,-0.0031925455872003163,0.0009186855551737651,-0.009444891915628733,0.0021072155329362953,-0.03093145672231911,0.0055256908456812436,-0.010890561332793489,0.0020607930440962145,raw,VirtualDelayAware,20
observation_noise_l3,-0.0029055384640073903,0.0009719897851304648,-0.00889630955297374,0.0021760379286548804,-0.0319367809407413,0.005412419292744327,-0.010538944140235661,0.0021166867089249613,raw,VirtualDelayAware,20
observation_noise_l6,0.0018237876314769943,0.0030626121970954473,0.0011799054362475233,0.007089580899906774,-0.01632941283285617,0.01879988970064441,-0.0018543322859896673,0.00737521934783203,raw,VirtualDelayAware,20
payload_l3,-0.002648858412760464,0.0017075881282587427,-0.017885235306649247,0.003349695200460318,-0.02226317137479782,0.009802942605614462,-0.012251727656395942,0.00311497990469761,raw,VirtualDelayAware,20
payload_l6,-0.012667599688246576,0.0017715047479964076,-0.06215851478875155,0.004789350869360417,-0.04120529111474756,0.011629061183688187,-0.035471547368226636,0.00469666662747978,raw,VirtualDelayAware,20
