trial_id,family,shape,speed,phase_index,repeat_index,controller,status,tracking_joint_rmse_deg,tracking_tcp_rmse_mm,command_velocity_rms_rad_s,command_acceleration_rms_rad_s2,requested_residual_p95_deg,requested_residual_max_deg,executed_residual_p95_deg,executed_residual_max_deg,safety_violation_count,control_deadline_miss_count,command_velocity_violation_count,command_acceleration_violation_count,command_acceleration_quantization_exceedance_count
back_and_forth_fast_p1_direct,heldout,back_and_forth,fast,1,1,direct,complete,0.8905341369865696,8.435633364493617,0.04882052146293839,0.8370179276970181,0.0,0.0,0.0,0.0,0,0,0,0,671
back_and_forth_fast_p2_nn_mpc,heldout,back_and_forth,fast,2,2,nn_mpc,complete,0.3904978642420974,3.8051192913828493,0.07793558646277571,1.1960856993241709,0.9999999922536332,0.9999999922536332,1.0529375868592286,1.7317564711294748,0,0,0,0,874
back_and_forth_fast_p2_direct,heldout,back_and_forth,fast,2,2,direct,complete,0.9032461326897104,9.561622724029046,0.04874465228823648,0.8222971324395707,0.0,0.0,0.0,0.0,0,0,0,0,653
back_and_forth_fast_p2_preview6,heldout,back_and_forth,fast,2,2,preview6,complete,0.6656489833915794,8.264110524171976,0.04874465228823649,0.8222971324395707,0.0,0.0,0.0,0.0,0,0,0,0,653
rounded_square_nominal_p0_direct,heldout,rounded_square,nominal,0,0,direct,complete,0.9091834220133332,9.098349356134506,0.039369014298402956,0.7143281782305942,0.0,0.0,0.0,0.0,0,0,0,0,752
rounded_square_nominal_p0_preview6,heldout,rounded_square,nominal,0,0,preview6,complete,0.701048211294852,6.680354268269152,0.03937517869768621,0.7146339038928315,0.0,0.0,0.0,0.0,0,0,0,0,739
rounded_square_nominal_p0_nn_mpc,heldout,rounded_square,nominal,0,0,nn_mpc,complete,0.29485132022368815,3.2829281517683255,0.07453872499002094,1.1836567712750272,0.9999999922536332,0.9999999922536332,1.1790879151451674,1.8921801123733262,0,0,0,0,1062
rounded_square_nominal_p1_preview6,heldout,rounded_square,nominal,1,1,preview6,complete,0.7025874242823824,6.5759596487840355,0.03937517869768621,0.7146339038928315,0.0,0.0,0.0,0.0,0,0,0,0,739
rounded_square_nominal_p1_nn_mpc,heldout,rounded_square,nominal,1,1,nn_mpc,complete,0.345864439501514,3.6110744391298124,0.08126515312993701,1.2081323981517522,0.9999999922536332,0.9999999922536332,1.2235732787189193,2.0491630458227834,0,0,0,0,1064
rounded_square_nominal_p1_direct,heldout,rounded_square,nominal,1,1,direct,complete,0.9077934073480125,8.503413514026121,0.039369014298402956,0.7143281782305942,0.0,0.0,0.0,0.0,0,0,0,0,739
rounded_square_nominal_p2_nn_mpc,heldout,rounded_square,nominal,2,2,nn_mpc,complete,0.37206898158116253,4.28022011010474,0.07877501101003868,1.183102961050139,0.9999999922536332,0.9999999922536332,1.160666617477208,1.7498099417662878,0,0,0,0,1066
rounded_square_nominal_p2_direct,heldout,rounded_square,nominal,2,2,direct,complete,0.9377675273200126,7.852007871962718,0.039369014298402956,0.7143281782305942,0.0,0.0,0.0,0.0,0,0,0,0,739
rounded_square_nominal_p2_preview6,heldout,rounded_square,nominal,2,2,preview6,complete,0.7241471233862524,6.030380034114273,0.03937517869768621,0.7146339038928315,0.0,0.0,0.0,0.0,0,0,0,0,739
rounded_square_fast_p0_direct,heldout,rounded_square,fast,0,0,direct,complete,0.9637135518822962,9.315512494701176,0.05043037402298906,0.7329053170431905,0.0,0.0,0.0,0.0,0,0,0,0,587
rounded_square_fast_p0_preview6,heldout,rounded_square,fast,0,0,preview6,complete,0.7586683970600169,5.996779718928106,0.050436682143279045,0.7332958871872419,0.0,0.0,0.0,0.0,0,0,0,0,587
rounded_square_fast_p0_nn_mpc,heldout,rounded_square,fast,0,0,nn_mpc,complete,0.4366961291855571,4.131251570623918,0.09366125812612133,1.240914089768861,0.9999999922536332,0.9999999922536332,1.2551188435739957,1.9100162976171682,0,0,0,0,857
rounded_square_fast_p1_preview6,heldout,rounded_square,fast,1,1,preview6,complete,0.7916410217127924,5.938007750864542,0.050436682143279045,0.7332958871872419,0.0,0.0,0.0,0.0,0,0,0,0,587
rounded_square_fast_p1_nn_mpc,heldout,rounded_square,fast,1,1,nn_mpc,complete,0.39559221482778895,3.773710246238521,0.0783670960643447,1.1488987272467632,0.9999999922536332,0.9999999922536332,1.0766920829941191,1.8390881981811709,0,0,0,0,859
rounded_square_fast_p1_direct,heldout,rounded_square,fast,1,1,direct,complete,1.0349911600031236,9.200403938848357,0.05043037402298906,0.7329053170431905,0.0,0.0,0.0,0.0,0,0,0,0,587
rounded_square_fast_p2_nn_mpc,heldout,rounded_square,fast,2,2,nn_mpc,complete,0.41808883301882843,3.899871637403056,0.09066497295725756,1.2362907051228802,0.9999999922536332,0.9999999922536332,1.2284512717580949,1.9190611756255576,0,0,0,0,858
rounded_square_fast_p2_direct,heldout,rounded_square,fast,2,2,direct,complete,1.0158027489495265,8.664089480395942,0.05043037402298906,0.7329053170431905,0.0,0.0,0.0,0.0,0,0,0,0,587
