robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w
ABB,FullVirtual,figure8,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/figure8_seed_4,26.79587527855384,6.715489877626338,12.500286102294922,12.500286102294922,737.2528245696435,1999.974250793457,2500.0572204589844,17.230150015762447,40.322878837585286,158.6807861328125,200.15890376999113,432.91025161743164,1276.508903503418,nan,nan,4.247734508253459,15.869697636755612,41.901746239642875
ABB,ThreadedASAP,figure8,4,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/figure8_seed_4,27.679716667540347,6.618043683963383,12.500286102294922,12.500286102294922,673.4098004105896,1999.974250793457,2500.0572204589844,15.972382780233199,37.81909885406492,96.47237396240234,192.08048579314402,458.8663101196289,925.5385637283325,nan,nan,3.932080769327743,13.495037877121089,22.105578680024276
ABB,DirectIK,fast_ellipse,0,./outputs/robustness/paper_three_ik_l036_s5_v1/physical/nominal/fast_ellipse_seed_0,43.92514063894601,0.7460722829855383,1.7148256301879883,4.12672758102417,45.01951347571833,61.06868386268616,416.18943214416504,6.771618449751086,16.305153942108156,39.30848693847656,31.49790123513146,68.14079284667969,207.74602890014648,nan,nan,1.914270009214496,6.450368933938652,8.151826516492733
ABB,FullVirtual,fast_ellipse,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/fast_ellipse_seed_0,33.40528000676586,6.816411083938415,12.500286102294922,12.500286102294922,722.6308848283338,1999.974250793457,2500.0572204589844,16.6357984995301,40.31043739318847,100.80990600585938,196.14655715108535,455.6336522102356,1152.834129333496,nan,nan,5.005208446513894,18.884310739342062,32.38449072676778
ABB,ThreadedASAP,fast_ellipse,0,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/fast_ellipse_seed_0,30.73704968438436,6.704290389040931,12.500286102294922,12.500286102294922,678.4311494698732,1999.974250793457,2500.0572204589844,20.268026991838823,50.2268329620361,113.42145538330078,234.07519304111344,516.5017366409302,1228.556776046753,nan,nan,6.278199762186677,19.773614683602354,26.34209464178851
ABB,FullVirtual,fast_ellipse,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/fast_ellipse_seed_1,32.97616378560031,6.874230626039843,12.500286102294922,12.500286102294922,726.7134994350408,1999.9909400939941,2500.0572204589844,19.171221524890967,45.835416984558016,140.13197326660156,204.71898647125334,476.8470950424671,1298.948860168457,nan,nan,5.948463784944008,18.53970732580739,31.452761396987015
ABB,ThreadedASAP,fast_ellipse,1,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/fast_ellipse_seed_1,35.72707778176085,7.009527113662328,12.500286102294922,12.500286102294922,701.8574532976573,1999.974250793457,2500.0572204589844,20.489521461721225,50.53427677154539,116.80284118652344,217.6826676031394,490.2936577796936,1229.3363571166992,nan,nan,6.91324226891334,21.873264617841727,32.71640685799335
ABB,FullVirtual,fast_ellipse,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/fast_ellipse_seed_2,35.94272867047025,6.875676874056761,12.500286102294922,12.500286102294922,700.8876368218356,1999.974250793457,2500.0572204589844,21.564811781529936,50.074561882018955,135.0242462158203,224.18847909274714,531.4090013504028,1228.1554698944092,nan,nan,6.791441573822817,23.205854014986745,39.11720218543909
ABB,ThreadedASAP,fast_ellipse,2,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/fast_ellipse_seed_2,34.437550862080606,7.079189007876529,12.500286102294922,12.500286102294922,722.3703529777559,1999.974250793457,2500.0572204589844,21.671121122651183,52.079092597961356,174.08932495117188,227.0238594003645,490.0374412536621,1435.5548858642578,nan,nan,6.921578840393376,23.58443248021406,50.29186656671293
ABB,FullVirtual,fast_ellipse,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/VirtualDelayAware/nominal/fast_ellipse_seed_3,33.46356893275708,6.924985598546336,12.500286102294922,12.500286102294922,710.445811382839,1999.974250793457,2500.0572204589844,22.538307951193033,55.439973068236995,130.12747192382812,230.97402022522448,543.2087898254395,1174.2744445800781,nan,nan,7.510336154885316,22.96149568943202,39.3897567222643
ABB,ThreadedASAP,fast_ellipse,3,./outputs/robustness/paper_three_ik_l036_s5_v1/mpc_architectures/ThreadedAsync/nominal/fast_ellipse_seed_3,30.356055868889783,6.9413436231495345,12.500286102294922,12.500286102294922,711.0562958081176,1999.974250793457,2500.0572204589844,17.349147819539883,37.84012279510493,123.80126190185547,203.87061843833683,451.1608362197876,1124.0856170654297,nan,nan,4.841313873586528,17.26595182223698,30.341909278476194
