robot,label,trajectory,seed,run_dir,tcp_rmse_mm,command_acceleration_rms_rad_s2,command_acceleration_p95_rad_s2,command_acceleration_max_rad_s2,command_jerk_rms_rad_s3,command_jerk_p95_rad_s3,command_jerk_max_rad_s3,torque_rms_nm,torque_abs_p95_nm,torque_abs_max_nm,torque_slew_rms_nm_s,torque_slew_p95_nm_s,torque_slew_max_nm_s,torque_utilization_p95,torque_utilization_max,absolute_mechanical_power_mean_w,absolute_mechanical_power_p95_w,absolute_mechanical_power_max_w,effort_scale
ABB,EffortScale4,figure8,3,./outputs/paper_claim_evidence_v2/runs/cache/9f1c982fc52c67006dbe35e05819c83390d7c7f7fad0f457eaac82d4a3363624,30.795853675808516,5.98822011611667,12.500286102294922,12.500286102294922,649.3110263831336,1999.974250793457,2500.0572204589844,10.053656847340589,22.84053363800046,84.61882019042969,138.17340065164382,315.63156843185425,910.443115234375,nan,nan,2.3043555832698006,10.53377913847734,20.844642314082556,4.0
ABB,EffortScale8,figure8,3,./outputs/paper_claim_evidence_v2/runs/cache/9d5d03da5177fabb39b07ce73a4507fc35a9ea9c64fd34a994a36dd8d2cc6faf,34.504579695025896,5.462866048235066,12.499991416931152,12.500286102294922,569.8785056205854,1583.3227932453156,2500.0572204589844,6.671203635572355,16.14878292083739,40.13391876220703,102.30101611807844,245.0372815132141,628.5347938537598,nan,nan,1.6051727057477223,6.250799997082062,11.434750013508967,8.0
ABB,EffortScale0.5,figure8,4,./outputs/paper_claim_evidence_v2/runs/cache/301ff79b8e8bf003f320e6e98bc6999ae1c46db7ece92eec7e15cb950c6d29b0,37.29328141939588,7.208321734702428,12.500286102294922,12.500286102294922,721.316569043088,1999.974250793457,2500.0572204589844,34.38543193474195,76.36490516662597,239.32199096679688,297.06136664147573,658.0034613609314,1593.481159210205,nan,nan,11.813918418563713,44.99119245906789,81.05194596849495,0.5
ABB,EffortScale1,figure8,4,./outputs/paper_claim_evidence_v2/runs/cache/349f550886bbf93989c6ddfdfb7db00207a14b7c314270c842ccff13cea22900,26.79587527855384,6.715489877626338,12.500286102294922,12.500286102294922,737.2528245696435,1999.974250793457,2500.0572204589844,17.230150015762447,40.322878837585286,158.6807861328125,200.15890376999113,432.91025161743164,1276.508903503418,nan,nan,4.247734508253459,15.869697636755612,41.901746239642875,1.0
ABB,EffortScale2,figure8,4,./outputs/paper_claim_evidence_v2/runs/cache/6045b2f21ad6a0f56f2c4c64748a25327aedfc6eec936f5d88d80c27f00c04b1,29.128910734407423,6.336963607536377,12.500286102294922,12.500286102294922,677.3218170397246,1999.974250793457,2500.0572204589844,12.589698208268699,30.0963554382324,91.12191772460938,162.4397580689427,381.9028377532959,1082.6011657714844,nan,nan,3.2046113072912723,12.61557958149039,26.375892633754795,2.0
ABB,EffortScale4,figure8,4,./outputs/paper_claim_evidence_v2/runs/cache/01ce2fd787021d4460e4f8ccce4c32bad27ef020032f718b405ea9d5d9059f16,31.827294483197107,5.913313994535866,12.500286102294922,12.500286102294922,637.8605390063195,1999.974250793457,2500.0572204589844,10.060155186706924,22.848708438873278,75.34598541259766,136.7041597112869,319.7737216949463,1065.8255577087402,nan,nan,2.454689948346252,10.55110946730033,25.199329317720643,4.0
ABB,EffortScale8,figure8,4,./outputs/paper_claim_evidence_v2/runs/cache/a14b0ccf8c0a2d030503185018b78919840f226932775f8c51d7e05852bd9fcc,33.91327021753209,5.2906369505134725,12.499988555908203,12.500286102294922,574.4689614327391,1708.1554889678955,2500.0572204589844,7.688832622196985,17.952240085601805,51.333168029785156,111.705616772707,263.32640647888184,872.4674135446548,nan,nan,1.7874903361701933,7.122854579014346,16.32146784560058,8.0
ABB,EffortScale0.5,fast_ellipse,0,./outputs/paper_claim_evidence_v2/runs/cache/9d05c8cf7dea939f926b0fb3f7633f8455d72e615dc094853adb08e5dc79e55e,45.81902141242848,7.505633297501557,12.500286102294922,12.500286102294922,734.8657965142803,1999.9974012374878,2500.0572204589844,33.45080461724518,80.74362373352047,131.2467041015625,290.7843443362974,639.544677734375,1300.730323791504,nan,nan,15.90165195680066,38.19727829192451,69.66295005459973,0.5
ABB,EffortScale1,fast_ellipse,0,./outputs/paper_claim_evidence_v2/runs/cache/c45e7f04324a18a47aef612adae3d98603b0cb2e05935bb84120db2f0c917025,33.40528000676586,6.816411083938415,12.500286102294922,12.500286102294922,722.6308848283338,1999.974250793457,2500.0572204589844,16.6357984995301,40.31043739318847,100.80990600585938,196.14655715108535,455.6336522102356,1152.834129333496,nan,nan,5.005208446513894,18.884310739342062,32.38449072676778,1.0
ABB,EffortScale2,fast_ellipse,0,./outputs/paper_claim_evidence_v2/runs/cache/7720bb43bcabf8c4700b15c8aa000522e534f5264be79615e31623d1c4d505e9,34.732000437521485,6.553793798974316,12.500286102294922,12.500286102294922,683.0999078594134,1999.974250793457,2500.0572204589844,13.42503988295637,33.03722152709955,93.98495483398438,162.51593565439296,394.6557715535164,869.8114395141602,nan,nan,3.8973179970327707,14.016781123417779,21.9388318896646,2.0
ABB,EffortScale4,fast_ellipse,0,./outputs/paper_claim_evidence_v2/runs/cache/346e25610aa0213a910ef0ac4fd7abdf5624e651e8ca0485c9fbafe4ee6aac75,38.9408967675325,6.384389767568386,12.500286102294922,12.500286102294922,642.3323537622427,1999.974250793457,2500.0572204589844,17.22276444651747,40.17836246490478,112.48226928710938,205.25682695735907,478.34973335266113,1269.2081451416016,nan,nan,4.968052747413792,19.210763654707122,30.662488463080393,4.0
ABB,EffortScale8,fast_ellipse,0,./outputs/paper_claim_evidence_v2/runs/cache/ed3cd78ccb4da0e4238594ac4fb5813fc583538b94cff0892b4e2cf18c354414,39.83974452120194,5.6445282424852,12.500286102294922,12.500286102294922,586.0818774274036,1704.7002911567688,2500.0572204589844,9.350589528528216,22.49358835220334,57.60746383666992,120.24369334932875,274.2946743965149,939.7668361663818,nan,nan,2.6437341506444123,9.594427743301884,21.72391167641123,8.0
ABB,EffortScale0.5,fast_ellipse,1,./outputs/paper_claim_evidence_v2/runs/cache/719865d6063de72504cf7e2b98d99716951e102bd79fed896ee7400b3ed0e62b,35.793394588389596,7.0087763501500975,12.500286102294922,12.500286102294922,730.2335143027767,1999.974250793457,2500.0572204589844,26.166099557387223,67.45823249816881,119.05279541015625,254.4115447610309,593.3903217315674,1224.2949962615967,nan,nan,9.439555172438533,27.320233872678692,40.397996678892135,0.5
ABB,EffortScale1,fast_ellipse,1,./outputs/paper_claim_evidence_v2/runs/cache/7294876b35efaf1b6fb2ca29bdb4b7d4f4e63c92ee4f4b027af97b73ac4e876f,32.97616378560031,6.874230626039843,12.500286102294922,12.500286102294922,726.7134994350408,1999.9909400939941,2500.0572204589844,19.171221524890967,45.835416984558016,140.13197326660156,204.71898647125334,476.8470950424671,1298.948860168457,nan,nan,5.948463784944008,18.53970732580739,31.452761396987015,1.0
ABB,EffortScale2,fast_ellipse,1,./outputs/paper_claim_evidence_v2/runs/cache/17062fab661bba6b05813bb532695a54ee2244496b6946936cc8e0a18a0898e1,32.02484260512558,6.760790696554092,12.500286102294922,12.500286102294922,723.7124339932244,1999.974250793457,2500.0572204589844,14.657960390254805,35.96381397247314,106.65029907226562,184.28573785354914,418.9115047454834,1182.298731803894,nan,nan,4.2977516916027145,14.946078683747519,25.427821371107846,2.0
